propeller_name,blade_name,propeller_brand,number_of_blades,propeller_diameter,propeller_pitch,single_blade_area,total_blade_area,disc_radius,disc_area,solidity
ancf 13.0x11.0 - 2,ancf 13.0x11.0,ancf,2,13.0,11.0,,,6.5,132.73228961416876,
ancf 13.0x5.0 - 2,ancf 13.0x5.0,ancf,2,13.0,5.0,,,6.5,132.73228961416876,
ancf 13.0x65.0 - 2,ancf 13.0x65.0,ancf,2,1.3,6.5,,,0.65,1.3273228961416876,
ancf 13.0x8.0 - 2,ancf 13.0x8.0,ancf,2,13.0,8.0,,,6.5,132.73228961416876,
ancf 14.0x12.0 - 2,ancf 14.0x12.0,ancf,2,14.0,12.0,,,7.0,153.93804002589985,
ancf 14.0x6.0 - 2,ancf 14.0x6.0,ancf,2,14.0,6.0,,,7.0,153.93804002589985,
ancf 14.0x8.0 - 2,ancf 14.0x8.0,ancf,2,14.0,8.0,,,7.0,153.93804002589985,
ancf 14.0x9.0 - 2,ancf 14.0x9.0,ancf,2,14.0,9.0,,,7.0,153.93804002589985,
ancf 15.0x10.0 - 2,ancf 15.0x10.0,ancf,2,15.0,10.0,,,7.5,176.71458676442586,
ancf 15.0x6.0 - 2,ancf 15.0x6.0,ancf,2,15.0,6.0,,,7.5,176.71458676442586,
ancf 15.0x8.0 - 2,ancf 15.0x8.0,ancf,2,15.0,8.0,,,7.5,176.71458676442586,
ancf 16.0x6.0 - 2,ancf 16.0x6.0,ancf,2,16.0,6.0,,,8.0,201.06192982974676,
ancf 16.0x8.0 - 2,ancf 16.0x8.0,ancf,2,16.0,8.0,,,8.0,201.06192982974676,
ancf 9.0x4.0 - 2,ancf 9.0x4.0,ancf,2,9.0,4.0,,,4.5,63.61725123519331,
ancf 9.0x5.0 - 2,ancf 9.0x5.0,ancf,2,9.0,5.0,,,4.5,63.61725123519331,
ancf 9.0x6.0 - 2,ancf 9.0x6.0,ancf,2,9.0,6.0,,,4.5,63.61725123519331,
ancf 9.0x7.0 - 2,ancf 9.0x7.0,ancf,2,9.0,7.0,,,4.5,63.61725123519331,
apc29ff 9.0x4.0 - 2,apc29ff 9.0x4.0,apc29ff,2,9.0,4.0,,,4.5,63.61725123519331,
apccf 7.4x8.25 - 2,apccf 7.4x8.25,apccf,2,7.4,8.25,,,3.7,43.008403427644275,
apccf 7.8x6.0 - 2,apccf 7.8x6.0,apccf,2,7.8,6.0,,,3.9,47.78362426110075,
apccf 7.8x7.0 - 2,apccf 7.8x7.0,apccf,2,7.8,7.0,,,3.9,47.78362426110075,
apce 8.0x4.0 - 2,apce 8.0x4.0,apce,2,8.0,4.0,,,4.0,50.26548245743669,
apce 8.0x6.0 - 2,apce 8.0x6.0,apce,2,8.0,6.0,,,4.0,50.26548245743669,
apce 8.0x8.0 - 2,apce 8.0x8.0,apce,2,8.0,8.0,,,4.0,50.26548245743669,
apce 9.0x7.5 - 2,apce 9.0x7.5,apce,2,9.0,7.5,,,4.5,63.61725123519331,
