variant,target,R2,RMSE,MAE,n_train,n_test
A. Without imputation (complete-case),C_T,0.5021077671029603,0.047391084027663795,0.033497840237403334,13331,880
A. Without imputation (complete-case),C_P,0.4461470565787302,0.02937526947046421,0.020754992685337325,13331,880
A. Without imputation (complete-case),eta,0.251428047960254,0.2859468809951142,0.1801223510316605,13331,880
B. With imputation (median solidity),C_T,0.625751250470696,0.041087445988299685,0.028714114329821096,26615,880
B. With imputation (median solidity),C_P,0.4873357946870386,0.028261884879668575,0.020220695614254457,26615,880
B. With imputation (median solidity),eta,0.20474153264157335,0.2947289109752507,0.19349951225632056,26615,880
C. Without solidity,C_T,0.6632188682070188,0.03897650048392177,0.026275586711190315,26615,880
C. Without solidity,C_P,0.41413632486258556,0.030212238957826786,0.02127268316258508,26615,880
C. Without solidity,eta,0.5823988887130894,0.2135745063897462,0.10135187664667752,26615,880
